"Session Number","Week","Module","Topic","Hours","Focus & Practical Scope","Materials Required","Practical Session Works","Merged Lab Activities","Included in Slides"
"11","W3","Module 1: Electrical & Networking","IP Addressing & Subnetting","4 Hrs","[x] Slide 1: Title Slide - IP Addressing & Subnetting
[x] Slide 2: What is an IP Address?
[x] Slide 3: The Subnet Mask
[x] Slide 4: CIDR Classless Notation
[x] Slide 5: Private vs. Public IP Ranges
[x] Slide 6: Gateway & DNS Basics
[x] Slide 7: Static IP vs. DHCP Dynamic
[x] Slide 8: Sizing a CCTV Subnet
[x] Slide 9: Common Configuration Errors
[x] Slide 10: Lab Session Work","- Laptops (Windows)
- Cat6 network patch cords
- 8-port network switch
- Marker board","- Set up static IPs on two laptops
- Verify end-to-end ping connection
- Diagnose and resolve wrong gateway settings","","TRUE"
"12","W3","Module 1: Electrical & Networking","Router & Switch Configuration","4 Hrs","[x] Slide 1: Title Slide - Router & Switch Configuration
[x] Slide 2: Router vs. Switch
[x] Slide 3: WAN vs. LAN Interfaces
[x] Slide 4: NAT (Network Address Translation)
[x] Slide 5: Port Forwarding Rules
[x] Slide 6: IP Reservation (Static DHCP)
[x] Slide 7: Wi-Fi Channel Spacing
[x] Slide 8: Wi-Fi Security standards
[x] Slide 9: Switch Backplane Bandwidth
[x] Slide 10: Lab Session Work","- Dual-band Wi-Fi router
- 8-port network switch
- Ethernet cables & laptops","- Access router administrator panel
- Configure IP pool and reservation
- Set up port forwarding for external cameras
- Calibrate Wi-Fi channel spacing","","TRUE"
"13","W4","Module 1: Electrical & Networking","VLAN Basics","2 Hrs","[x] Slide 1: Title Slide - VLAN Basics & Segmentation
[x] Slide 2: What is a VLAN?
[x] Slide 3: Why Segment CCTV Traffic?
[x] Slide 4: Access Switch Ports
[x] Slide 5: Trunk Switch Ports
[x] Slide 6: Layer 2 vs. Layer 3 Switches
[x] Slide 7: Inter-VLAN Routing
[x] Slide 8: VLAN Security Rules
[x] Slide 9: Managed Switch Interface
[x] Slide 10: Lab Session Work","- Layer 2 Managed switch
- Internet router
- Laptops & patch cords","- Access managed switch GUI console
- Create VLAN 10 (Data) & VLAN 20 (CCTV)
- Assign specific access ports & configure trunk link","","TRUE"
"14","W4","Module 1: Electrical & Networking","PoE & PoE Switches","2 Hrs","[x] Slide 1: Title Slide - PoE & PoE Switches
[x] Slide 2: What is PoE?
[x] Slide 3: PoE Standards: af, at, bt
[x] Slide 4: Power Budget Calculations
[x] Slide 5: Active vs. Passive PoE
[x] Slide 6: PoE Pinout Wiring Modes
[x] Slide 7: PoE Splitters & Extenders
[x] Slide 8: Distance Limits & Voltage Drop
[x] Slide 9: PoE Switch Port Diagnostics
[x] Slide 10: Lab Session Work","- PoE Switch
- PoE IP camera & non-PoE camera
- PoE splitter
- Multimeter","- Measure active PoE pin voltages
- Calculate total camera load budget
- Wire non-PoE camera using splitter","","TRUE"
"15","W4","Module 1: Electrical & Networking","Fiber Optic Basics","2 Hrs","[x] Slide 1: Title Slide - Fiber Optic Basics
[x] Slide 2: Copper vs. Fiber Optic
[x] Slide 3: Single-Mode vs. Multi-Mode
[x] Slide 4: SFP Transceiver Modules
[x] Slide 5: Fiber Connector Types
[x] Slide 6: Fiber Media Converters
[x] Slide 7: Optical Insertion Loss & Audits
[x] Slide 8: Enclosures & Splicing (LIU)
[x] Slide 9: Laser Safety & Handling Rules
[x] Slide 10: Lab Session Work","- SC-LC fiber patch cords
- Fiber media converters
- Gigabit switches with SFP ports
- SFP modules","- Install SFPs in switch ports
- Link switches using fiber patch cable
- Verify fiber link status on media converters","[Network Rack Setup & Fiber Splicing]
Activities:
- Rack unit layout arrangements
- Fiber core stripping & cleaving
- Fusion splicing operations
Works:
- Mount patch panels inside 9U rack cabinet
- Strip and cleave fiber core clean using tools
- Perform fusion splice and check core DB loss","TRUE"
"16","W5","Module 1: Electrical & Networking","Network Troubleshooting","2 Hrs","[x] Slide 1: Title Slide - Network Troubleshooting
[x] Slide 2: RJ45 Ethernet Crimping (T568A & T568B)
[x] Slide 3: RJ11 Telephone Crimping Standard
[x] Slide 4: Network Cable Testers
[x] Slide 5: Diagnostic: Ping Command
[x] Slide 6: Diagnostic: Traceroute (tracert)
[x] Slide 7: IP Network Scanner Audits
[x] Slide 8: Resolving IP Address Conflicts
[x] Slide 9: Switch Loops & Spanning Tree
[x] Slide 10: Lab Session Work","- RJ45/RJ11 plugs & Cat6/Phone cables
- Crimper tools & LAN wiremap tester
- Workstations & managed switch","- Crimp Cat6 (RJ45) & phone (RJ11) plugs
- Run CMD pings/tracert link audits
- Troubleshoot and resolve switch loops","[Network Rack Setup & Fiber Splicing]
Activities:
- Rack unit layout arrangements
- Fiber core stripping & cleaving
- Fusion splicing operations
Works:
- Mount patch panels inside 9U rack cabinet
- Strip and cleave fiber core clean using tools
- Perform fusion splice and check core DB loss

[Troubleshooting Lab]
Activities:
- Bench loop diagnostics
- Multimeter voltage tests
- Fault repair verifications
Works:
- Check Phase-Earth voltage using test lamp
- Find short circuit fault inside junction box
- Resolve induced IP clashes on camera net","TRUE"
"17","W5","Module 2: Professional CCTV Systems","DVR, NVR & Hybrid Systems","3 Hrs","[x] Slide 1: Title Slide - DVR, NVR & Hybrid Systems
[x] Slide 2: DVR Hardware Architecture
[x] Slide 3: NVR Hardware Architecture
[x] Slide 4: Hybrid XVRs
[x] Slide 5: SATA Storage Interfaces
[x] Slide 6: Storage Sizing Parameters
[x] Slide 7: Thermal Cooling & Venting
[x] Slide 8: PoE Power Budgets
[x] Slide 9: Firmware Recording Profiles
[x] Slide 10: Practical Lab Guide","- 8-ch NVR & 8-ch DVR
- 1TB Surveillance HDD
- SATA cables & screwdriver","- Install hard drive inside NVR casing
- Connect SATA power and data cables
- Initialize HDD and configure recording profiles","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"18","W5","Module 2: Professional CCTV Systems","RAID & Storage Design","2 Hrs","[x] Slide 1: Title Slide - RAID & Storage Design
[x] Slide 2: RAID 0 (Striping)
[x] Slide 3: RAID 1 (Mirroring)
[x] Slide 4: RAID 5 (Striping with Parity)
[x] Slide 5: RAID 10 Nested Array
[x] Slide 6: Hot-Swapping Drives
[x] Slide 7: Surveillance-Grade vs. Desktop HDDs
[x] Slide 8: Calculating Retention Schedules
[x] Slide 9: Storage Calculator Software
[x] Slide 10: Practical Lab Guide","- Laptops
- Storage calculator tool
- Multi-bay test NVR","- Set up a RAID 1 backup array inside NVR
- Calculate storage storage for 10 IP cameras
- Test hot-swapping a HDD in RAID array","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"19","W5","Module 2: Professional CCTV Systems","ONVIF Standards","1 Hr","[x] Slide 1: Title Slide - ONVIF Standards & Profiles
[x] Slide 2: What is ONVIF?
[x] Slide 3: ONVIF Profile S
[x] Slide 4: ONVIF Profile G
[x] Slide 5: ONVIF Profile T
[x] Slide 6: ONVIF Device Discovery
[x] Slide 7: ONVIF User Accounts
[x] Slide 8: Common Integration Pitfalls
[x] Slide 9: Troubleshooting Tools
[x] Slide 10: Practical Lab Guide","- Hikvision NVR & Dahua IP camera
- POE switch & patch cords","- Link Dahua IP camera to Hikvision NVR
- Configure connection via ONVIF Profile S
- Test video feed and PTZ command link","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"20","W6","Module 2: Professional CCTV Systems","Video Compression (H.264/H.265/H.265+)","2 Hrs","[x] Slide 1: Title Slide - Video Compression (H.264/H.265)
[x] Slide 2: What is Compression?
[x] Slide 3: H.264 Codec Standard
[x] Slide 4: H.265 Codec Standard
[x] Slide 5: Smart Codecs (H.265+)
[x] Slide 6: I-Frames & P-Frames
[x] Slide 7: CBR vs. VBR Profiles
[x] Slide 8: Frame Rate (FPS) Sizing
[x] Slide 9: Resolution Impact on Bandwidth
[x] Slide 10: Practical Lab Guide","- IP camera & NVR
- Network bandwidth monitoring app","- Change camera compression profile to H.265+
- Measure live bandwidth drop compared to H.264
- Configure variable bitrate threshold settings","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"21","W6","Module 2: Professional CCTV Systems","AI Analytics","2 Hrs","[x] Slide 1: Title Slide - AI Analytics & Perimeter Security
[x] Slide 2: AI vs. Standard Motion Detection
[x] Slide 3: Line Crossing Detection
[x] Slide 4: Intrusion Zone Detection
[x] Slide 5: Object Classification
[x] Slide 6: False Alarm Filtering (AcuSense)
[x] Slide 7: Smart Search Engine
[x] Slide 8: Alarm Action Triggers
[x] Slide 9: Designing Perimeter Zones
[x] Slide 10: Practical Lab Guide","- Smart IP camera & NVR
- Laptop client","- Define line-crossing parameters on NVR
- Configure intrusion detection alert zone
- Test and record human/vehicle alarm filter","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"22","W6","Module 2: Professional CCTV Systems","ANPR (Automatic Number Plate Recognition)","2 Hrs","[x] Slide 1: Title Slide - ANPR (Plate Recognition)
[x] Slide 2: ANPR Cameras
[x] Slide 3: Shutter Speed Calibration
[x] Slide 4: Mounting Height & Angles
[x] Slide 5: License Plate Illumination
[x] Slide 6: ANPR Database Lists
[x] Slide 7: Barrier Relay Triggers
[x] Slide 8: Vehicle Statistics
[x] Slide 9: Debugging ANPR Failures
[x] Slide 10: Practical Lab Guide","- ANPR camera & NVR
- Test vehicle license plates
- Laptop client","- Adjust camera shutter speed to 1/1000s
- Align camera angle within $30^\circ$ limit
- Upload whitelist database to trigger relay lock","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"23","W6","Module 2: Professional CCTV Systems","Facial Recognition","2 Hrs","[x] Slide 1: Title Slide - Facial Recognition Diagnostics
[x] Slide 2: Face Detection vs. Recognition
[x] Slide 3: Pixel Sizing Criteria
[x] Slide 4: Facial Database Enrollment
[x] Slide 5: Similarity Thresholds
[x] Slide 6: Lighting Compensation
[x] Slide 7: Blacklist Alert Triggers
[x] Slide 8: Searching by Face Image
[x] Slide 9: Database Management
[x] Slide 10: Practical Lab Guide","- Face recognition camera & NVR
- Face database photos
- Laptop client","- Enroll student faces into NVR database
- Configure facial similarity limit to 85%
- Test blacklist matching alert sound trigger","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"24","W7","Module 2: Professional CCTV Systems","ColorVu, AcuSense & Thermal Cameras","3 Hrs","[x] Slide 1: Title Slide - ColorVu, AcuSense & Thermal Cameras
[x] Slide 2: ColorVu Night Technology
[x] Slide 3: AcuSense Analytics
[x] Slide 4: Thermal Imaging Physics
[x] Slide 5: Thermal Fire Detection
[x] Slide 6: Bi-Spectrum Cameras
[x] Slide 7: Long-Range Perimeter Protection
[x] Slide 8: Temperature Threshold Audits
[x] Slide 9: Specialized Mounts & Alignments
[x] Slide 10: Practical Lab Guide","- ColorVu camera & AcuSense camera
- Handheld heat source (solder iron)","- Configure ColorVu night warm light settings
- Verify AcuSense false-alarm tree-branch filter
- Monitor heat spot alert on thermal camera feed","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"25","W7","Module 2: Professional CCTV Systems","PTZ Cameras","2 Hrs","[x] Slide 1: Title Slide - PTZ Cameras & Patrols
[x] Slide 2: PTZ pan/tilt mechanics
[x] Slide 3: Optical Zoom Ratios
[x] Slide 4: PTZ Preset Coordinates
[x] Slide 5: Patrol Tours (Sequence)
[x] Slide 6: Auto-Tracking AI Logic
[x] Slide 7: RS485 Serial Control
[x] Slide 8: Joystick Controller Desks
[x] Slide 9: Mechanical Limit Stops
[x] Slide 10: Practical Lab Guide","- PTZ Dome camera
- Controller joystick
- NVR","- Connect PTZ control via RS485/IP
- Program 5 preset camera locations
- Configure a continuous scanning patrol tour","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"26","W7","Module 2: Professional CCTV Systems","Remote Viewing & Cloud","3 Hrs","[x] Slide 1: Title Slide - Remote Viewing & Cloud Systems
[x] Slide 2: Cloud P2P Connection Engine
[x] Slide 3: QR Code Registration
[x] Slide 4: Dynamic DNS (DDNS) Setup
[x] Slide 5: Port Forwarding Safety
[x] Slide 6: Stream Profiles: Main vs. Sub
[x] Slide 7: Push Notifications Alert Rules
[x] Slide 8: Multi-Site VMS Client Software
[x] Slide 9: Bandwidth Sizing Calculations
[x] Slide 10: Practical Lab Guide","• NVR & internet router
• Phone with Hik-Connect/DMSS app
• Laptop client","- Link NVR to Cloud P2P portal
- Scan QR code to add device on mobile app
- Set up port-forwarding for DDNS connection","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"27","W8","Module 2: Professional CCTV Systems","Cybersecurity","2 Hrs","[x] Slide 1: Title Slide - CCTV Cybersecurity Standards
[x] Slide 2: CCTV Vulnerabilities
[x] Slide 3: Password Complexity Rules
[x] Slide 4: Changing Default Ports
[x] Slide 5: Disabling UPnP & Telnet
[x] Slide 6: HTTPS Certificate Installation
[x] Slide 7: IP Address Access Filtering
[x] Slide 8: User Roles & Permissions
[x] Slide 9: Firmware Updates
[x] Slide 10: Practical Lab Guide","- IP camera, NVR, laptop","- Modify default HTTP/RTSP ports on camera
- Disable UPnP network settings on NVR
- Install HTTPS security certificate on camera","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"28","W8","Module 2: Professional CCTV Systems","Troubleshooting & Maintenance","4 Hrs","[x] Slide 1: Title Slide - CCTV Troubleshooting & Maintenance
[x] Slide 2: No Video Diagnostics
[x] Slide 3: IP Address Mismatch Clashes
[x] Slide 4: Video Packet Loss Dropouts
[x] Slide 5: IR Halo Ring Reflections
[x] Slide 6: Ground Loop Video Hum Bars
[x] Slide 7: Camera Focus Adjustments
[x] Slide 8: Firmware Recovery Loops
[x] Slide 9: Physical Cleaning & Maintenance Tools
[x] Slide 10: Maintenance Schedules
[x] Slide 11: Practical Lab Guide","- Multimeter, lens cleaning fluid
- Faulty cameras
- IP scanner software","- Troubleshoot camera offline fault on bench
- Resolve duplicate IP address clashes
- Perform lens cleaning to remove IR light halo","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds

[Troubleshooting Lab]
Activities:
- Bench loop diagnostics
- Multimeter voltage tests
- Fault repair verifications
Works:
- Check Phase-Earth voltage using test lamp
- Find short circuit fault inside junction box
- Resolve induced IP clashes on camera net","TRUE"
"29","W8","Module 3: Security & Building Automation","Video Door Phone","2 Hrs","[x] Slide 1: Title Slide - Video Door Phone
[x] Slide 2: 2-Wire Analog VDP
[x] Slide 3: IP VDP Infrastructure
[x] Slide 4: Solenoid Lock Mechanics
[x] Slide 5: Relay Logic - Wet vs. Dry Contacts
[x] Slide 6: Power Budget & External PSUs
[x] Slide 7: SIP Calling & Mobile Gateways
[x] Slide 8: Multi-Apartment Distributors
[x] Slide 9: Troubleshooting - Audio Hum & Video Noise
[x] Slide 10: Lab Work: VDP Interfacing","- VDP outdoor call station & monitor
- 12V solenoid lock
- 4-core signal cable","- Wire outdoor call station to indoor monitor
- Connect lock release relay to solenoid lock
- Test voice/video communication & lock release","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"30","W8","Module 3: Security & Building Automation","Access Control","3 Hrs","[x] Slide 1: Title Slide - Access Control
[x] Slide 2: RFID Principles (125kHz vs 13.56MHz)
[x] Slide 3: Wiegand Hardware Interface
[x] Slide 4: Controller Architecture
[x] Slide 5: Request to Exit (REX) Loops
[x] Slide 6: Electromagnetic Lock NC Loops
[x] Slide 7: Fire Integration Overrides
[x] Slide 8: Management Software Databases
[x] Slide 9: Troubleshooting - Reader and Lock Noise
[x] Slide 10: Lab Work: Access Panel Wiring","- Access control panel
- RFID card reader & exit button
- 12V electromagnetic lock
- 12V 5A power supply","- Wire RFID reader and exit button to controller
- Terminate EM lock power supply lines to panel
- Register RFID cards & test access control loop","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
"31","W9","Module 3: Security & Building Automation","Biometric Systems","2 Hrs","[x] Slide 1: Title Slide - Biometric Systems
[x] Slide 2: Introduction to Biometric Systems
[x] Slide 3: Core Working Principles
[x] Slide 4: Hardware Components & Wiring
[x] Slide 5: Electrical Protections
[x] Slide 6: Software & Configuration Settings
[x] Slide 7: Safety Interlocks & Overrides
[x] Slide 8: Installation Guidelines
[x] Slide 9: Troubleshooting Workflows
[x] Slide 10: Lab Work: Biometric Systems Commissioning","- Standalone biometric reader
- RFID cards & network switch
- Laptop with management software","- Enroll fingerprints and faces on reader panel
- Configure network IP settings on reader
- Retrieve access database log onto laptop","[Access Control & Video Door Phone Setup]
Activities:
- VDP wiring integrations
- Access panel loop wirings
- EM locks bracket setups
Works:
- Connect outdoor call station to VDP monitor
- Wire access panel release relay to EM lock
- Register RFID cards & test access lock loop","TRUE"
