"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Breakers, Protection & Fuses."
"","5","Power Supply & SMPS","8","Installation & Mounting Rules","Analyze core parameters and hardware metrics for Power Supply & SMPS."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Installation & Mounting Rules."
"","5","Power Supply & SMPS","9","Troubleshooting Common Electrical Faults","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","5","Power Supply & SMPS","10","Practical Lab: Wiring & Measurement","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","6","Reading Electrical Drawings","1","Title Slide - Reading Electrical Drawings","Analyze core parameters and hardware metrics for Reading Electrical Drawings."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Reading Electrical Drawings."
"","6","Reading Electrical Drawings","2","Fundamental Principles & Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","6","Reading Electrical Drawings","3","Sizing Calculations & Formulae","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","6","Reading Electrical Drawings","4","Hardware Component Specifications","Analyze core parameters and hardware metrics for Reading Electrical Drawings."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Hardware Component Specifications."
"","6","Reading Electrical Drawings","5","Interface Connections & Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","6","Reading Electrical Drawings","6","Electrical Safety & PPE Standards","Analyze core parameters and hardware metrics for Reading Electrical Drawings."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Electrical Safety & PPE Standards."
"","6","Reading Electrical Drawings","7","Breakers, Protection & Fuses","Analyze core parameters and hardware metrics for Reading Electrical Drawings."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Breakers, Protection & Fuses."
"","6","Reading Electrical Drawings","8","Installation & Mounting Rules","Analyze core parameters and hardware metrics for Reading Electrical Drawings."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Installation & Mounting Rules."
"","6","Reading Electrical Drawings","9","Troubleshooting Common Electrical Faults","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","6","Reading Electrical Drawings","10","Practical Lab: Wiring & Measurement","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","7","Cable Selection & Management","1","Title Slide - Cable Selection & Management","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Cable Selection & Management."
"","7","Cable Selection & Management","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","7","Cable Selection & Management","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","7","Cable Selection & Management","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","7","Cable Selection & Management","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","7","Cable Selection & Management","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","7","Cable Selection & Management","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","7","Cable Selection & Management","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","7","Cable Selection & Management","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Cable Selection & Management."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","7","Cable Selection & Management","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 2: Analog CCTV Systems","8","Analog & IP CCTV","1","Title Slide - Analog & IP CCTV","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Analog & IP CCTV."
"","8","Analog & IP CCTV","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","8","Analog & IP CCTV","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","8","Analog & IP CCTV","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","8","Analog & IP CCTV","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","8","Analog & IP CCTV","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","8","Analog & IP CCTV","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","8","Analog & IP CCTV","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","8","Analog & IP CCTV","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Analog & IP CCTV."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","8","Analog & IP CCTV","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","9","Camera Selection & Design","1","Title Slide - Camera Selection & Design","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Camera Selection & Design."
"","9","Camera Selection & Design","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","9","Camera Selection & Design","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","9","Camera Selection & Design","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","9","Camera Selection & Design","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","9","Camera Selection & Design","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","9","Camera Selection & Design","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","9","Camera Selection & Design","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","9","Camera Selection & Design","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Camera Selection & Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","9","Camera Selection & Design","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","10","Lens & Field of View","1","Title Slide - Lens & Field of View","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Lens & Field of View."
"","10","Lens & Field of View","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","10","Lens & Field of View","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","10","Lens & Field of View","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","10","Lens & Field of View","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","10","Lens & Field of View","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","10","Lens & Field of View","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","10","Lens & Field of View","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","10","Lens & Field of View","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Lens & Field of View."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","10","Lens & Field of View","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 3: Networking Fundamentals & Infrastructure","11","IP Addressing & Subnetting","1","Title Slide - IP Addressing & Subnetting","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - IP Addressing & Subnetting."
"","11","IP Addressing & Subnetting","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","11","IP Addressing & Subnetting","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","11","IP Addressing & Subnetting","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Switch Port Configuration & VLANs."
"","11","IP Addressing & Subnetting","5","PoE Standards & Power Budgeting","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for PoE Standards & Power Budgeting."
"","11","IP Addressing & Subnetting","6","Fiber Optic Cabling & Media Converters","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fiber Optic Cabling & Media Converters."
"","11","IP Addressing & Subnetting","7","Router Gateways, WAN, and NAT Mappings","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Router Gateways, WAN, and NAT Mappings."
"","11","IP Addressing & Subnetting","8","IP conflicts & Loop Protection","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP conflicts & Loop Protection."
"","11","IP Addressing & Subnetting","9","Diagnostic Tools: Ping, Traceroute & Scans","Analyze core parameters and hardware metrics for IP Addressing & Subnetting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","11","IP Addressing & Subnetting","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","12","Router & Switch Configuration","1","Title Slide - Router & Switch Configuration","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Router & Switch Configuration."
"","12","Router & Switch Configuration","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","12","Router & Switch Configuration","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","12","Router & Switch Configuration","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Switch Port Configuration & VLANs."
"","12","Router & Switch Configuration","5","PoE Standards & Power Budgeting","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for PoE Standards & Power Budgeting."
"","12","Router & Switch Configuration","6","Fiber Optic Cabling & Media Converters","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fiber Optic Cabling & Media Converters."
"","12","Router & Switch Configuration","7","Router Gateways, WAN, and NAT Mappings","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Router Gateways, WAN, and NAT Mappings."
"","12","Router & Switch Configuration","8","IP conflicts & Loop Protection","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP conflicts & Loop Protection."
"","12","Router & Switch Configuration","9","Diagnostic Tools: Ping, Traceroute & Scans","Analyze core parameters and hardware metrics for Router & Switch Configuration."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","12","Router & Switch Configuration","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","13","VLAN Basics","1","Title Slide - VLAN Basics","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - VLAN Basics."
"","13","VLAN Basics","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
