"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point","SVG Image Making Plan"
"","2","Earthing & Lightning Protection","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","2","Earthing & Lightning Protection","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","2","Earthing & Lightning Protection","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","2","Earthing & Lightning Protection","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","2","Earthing & Lightning Protection","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","2","Earthing & Lightning Protection","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","2","Earthing & Lightning Protection","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","2","Earthing & Lightning Protection","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","3","Multimeter Practical","1","Introduction to Multimeter Practical","Welcome to the basic concepts of Multimeter Practical.","Overview graphic of Multimeter Practical highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","3","Multimeter Practical","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
"","3","Multimeter Practical","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","3","Multimeter Practical","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","3","Multimeter Practical","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","3","Multimeter Practical","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","3","Multimeter Practical","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","3","Multimeter Practical","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","3","Multimeter Practical","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","3","Multimeter Practical","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","4","Electrical Safety & PPE","1","Introduction to Electrical Safety & PPE","Welcome to the basic concepts of Electrical Safety & PPE.","Overview graphic of Electrical Safety & PPE highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","4","Electrical Safety & PPE","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
"","4","Electrical Safety & PPE","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","4","Electrical Safety & PPE","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","4","Electrical Safety & PPE","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","4","Electrical Safety & PPE","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","4","Electrical Safety & PPE","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","4","Electrical Safety & PPE","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","4","Electrical Safety & PPE","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","4","Electrical Safety & PPE","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","5","Power Supply & SMPS","1","Introduction to Power Supply & SMPS","Welcome to the basic concepts of Power Supply & SMPS.","Overview graphic of Power Supply & SMPS highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","5","Power Supply & SMPS","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
"","5","Power Supply & SMPS","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","5","Power Supply & SMPS","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","5","Power Supply & SMPS","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","5","Power Supply & SMPS","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","5","Power Supply & SMPS","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","5","Power Supply & SMPS","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","5","Power Supply & SMPS","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","5","Power Supply & SMPS","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","6","Reading Electrical Drawings","1","Introduction to Reading Electrical Drawings","Welcome to the basic concepts of Reading Electrical Drawings.","Overview graphic of Reading Electrical Drawings highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","6","Reading Electrical Drawings","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
"","6","Reading Electrical Drawings","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","6","Reading Electrical Drawings","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","6","Reading Electrical Drawings","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","6","Reading Electrical Drawings","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","6","Reading Electrical Drawings","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","6","Reading Electrical Drawings","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","6","Reading Electrical Drawings","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","6","Reading Electrical Drawings","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","6","Reading Electrical Drawings","11","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","6","Reading Electrical Drawings","12","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","6","Reading Electrical Drawings","13","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","6","Reading Electrical Drawings","14","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","7","Cable Selection & Management","1","Introduction to Cable Selection & Management","Learn what Cable Selection & Management is and why it is used.","Block diagram showing input sensors, main panel, and output control paths."
"","","","","","Understand the main parts of this system.",""
"","","","","","See how it improves safety and convenience.",""
"","7","Cable Selection & Management","2","Key Hardware Components","Identify the main controllers, sensors, and locks.","Visual component layout with labels for controller board, locks, and sensors."
"","","","","","Select the right hardware for different entry paths.",""
"","","","","","Configure device wiring loops safely.",""
"","7","Cable Selection & Management","3","How the System Operates","Follow the signal path from input to trigger.","Sequence flowchart showing sensor trigger, relay action, and device response."
"","","","","","Understand how relays control power lines.",""
"","","","","","Configure simple automation schedules.",""
"","7","Cable Selection & Management","4","Wiring & Connection Rules","Learn safe wiring paths for sensors and power.","Circuit wiring diagram showing NO/NC contact loops and resistors."
"","","","","","Understand Normally Open (NO) and Normally Closed (NC) circuits.",""
"","","","","","Use the correct cable type for system signals.",""
"","7","Cable Selection & Management","5","Software Setup & Config","Add new devices to the management software.","Software dashboard simulation showing device lists and settings menus."
"","","","","","Create user accounts and adjust system privileges.",""
"","","","","","Export reports and transaction logs.",""
"","7","Cable Selection & Management","6","System Testing & Sign-off","Verify that all sensors trigger alarms correctly.","Inspection checklist card with test points and pass/fail boxes."
"","","","","","Test emergency override buttons and fire cutoffs.",""
"","","","","","Check if notifications are sent on faults.",""
"","7","Cable Selection & Management","7","Installation Best Practices","Mount controllers in locked weatherproof boxes.","Installation blueprint showing secure box mounts and conduit routing."
"","","","","","Run wires in conduits to prevent damage.",""
"","","","","","Follow local standards for safe mounting heights.",""
"","7","Cable Selection & Management","8","Advanced Logic & Integration","Connect the fire alarm relay for automatic door releases.","Integration blueprint showing fire panel relay linking to access controller."
"","","","","","Link cameras to record video on alarm triggers.",""
"","","","","","Configure custom scene automation.",""
"","7","Cable Selection & Management","9","Troubleshooting Common Errors","Diagnose loose wiring joints at sensor terminals.","Fault finding flow matching error signs to easy check points."
"","","","","","Fix power drops by checking power lines.",""
"","","","","","Clear system error codes using backup resets.",""
"","7","Cable Selection & Management","10","Hands-On Lab Activity","Wire a basic controller to a lock or sensor.","Lab workspace layout showing wired board, laptop, and multimeter."
"","","","","","Program the system using the management software.",""
"","","","","","Perform safety tests and extract diagnostic logs.",""
"Stage 2: Analog CCTV Systems","8","Analog CCTV","1","Introduction to Analog CCTV","Learn the basic purpose of Analog CCTV.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","8","Analog CCTV","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","8","Analog CCTV","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","8","Analog CCTV","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","8","Analog CCTV","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","8","Analog CCTV","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","8","Analog CCTV","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","8","Analog CCTV","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","8","Analog CCTV","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","8","Analog CCTV","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","9","Camera Selection & Design","1","Introduction to Camera Selection & Design","Learn the basic purpose of Camera Selection & Design.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","9","Camera Selection & Design","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","9","Camera Selection & Design","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","9","Camera Selection & Design","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","9","Camera Selection & Design","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","9","Camera Selection & Design","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","9","Camera Selection & Design","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","9","Camera Selection & Design","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","9","Camera Selection & Design","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","9","Camera Selection & Design","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","10","Lens & Field of View","1","Introduction to Lens & Field of View","Learn the basic purpose of Lens & Field of View.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","10","Lens & Field of View","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","10","Lens & Field of View","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","10","Lens & Field of View","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","10","Lens & Field of View","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","10","Lens & Field of View","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","10","Lens & Field of View","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","10","Lens & Field of View","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","10","Lens & Field of View","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","10","Lens & Field of View","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","11","DVR Setup with Recording Configuration","1","Introduction to DVR Setup with Recording Configuration","Learn the basic purpose of DVR Setup with Recording Configuration.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","11","DVR Setup with Recording Configuration","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","11","DVR Setup with Recording Configuration","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","11","DVR Setup with Recording Configuration","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","11","DVR Setup with Recording Configuration","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","11","DVR Setup with Recording Configuration","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","11","DVR Setup with Recording Configuration","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","11","DVR Setup with Recording Configuration","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","11","DVR Setup with Recording Configuration","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","11","DVR Setup with Recording Configuration","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
