"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","","","","","Data backup and log exporting parameters."
"","6","Reading Electrical Drawings","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","6","Reading Electrical Drawings","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","6","Reading Electrical Drawings","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","6","Reading Electrical Drawings","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","6","Reading Electrical Drawings","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 1: Electrical Fundamentals & Wiring","7","Cable Selection & Management","1","Title Slide - Cable Selection & Management","Welcome and overview of Cable Selection & Management concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","7","Cable Selection & Management","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","7","Cable Selection & Management","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","7","Cable Selection & Management","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","7","Cable Selection & Management","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","7","Cable Selection & Management","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","7","Cable Selection & Management","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","7","Cable Selection & Management","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","7","Cable Selection & Management","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","7","Cable Selection & Management","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 2: Analog CCTV Systems","8","Analog CCTV","1","Title Slide - Analog CCTV","Welcome and overview of Analog CCTV concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","8","Analog CCTV","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","8","Analog CCTV","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","8","Analog CCTV","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","8","Analog CCTV","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","8","Analog CCTV","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","8","Analog CCTV","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","8","Analog CCTV","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","8","Analog CCTV","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","8","Analog CCTV","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 2: Analog CCTV Systems","9","Camera Selection & Design","1","Title Slide - Camera Selection & Design","Welcome and overview of Camera Selection & Design concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","9","Camera Selection & Design","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","9","Camera Selection & Design","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","9","Camera Selection & Design","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","9","Camera Selection & Design","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","9","Camera Selection & Design","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","9","Camera Selection & Design","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","9","Camera Selection & Design","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","9","Camera Selection & Design","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","9","Camera Selection & Design","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 2: Analog CCTV Systems","10","Lens & Field of View","1","Title Slide - Lens & Field of View","Welcome and overview of Lens & Field of View concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","10","Lens & Field of View","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","10","Lens & Field of View","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","10","Lens & Field of View","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","10","Lens & Field of View","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","10","Lens & Field of View","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","10","Lens & Field of View","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","10","Lens & Field of View","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","10","Lens & Field of View","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","10","Lens & Field of View","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 2: Analog CCTV Systems","11","DVR Setup with Recording Configuration","1","Title Slide - DVR Setup with Recording Configuration","Welcome and overview of DVR Setup with Recording Configuration concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","11","DVR Setup with Recording Configuration","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","11","DVR Setup with Recording Configuration","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","11","DVR Setup with Recording Configuration","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","11","DVR Setup with Recording Configuration","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","11","DVR Setup with Recording Configuration","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","11","DVR Setup with Recording Configuration","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","11","DVR Setup with Recording Configuration","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","11","DVR Setup with Recording Configuration","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","11","DVR Setup with Recording Configuration","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 3: Networking Fundamentals & Infrastructure","12","IP Addressing & Subnetting","1","Title Slide - IP Addressing & Subnetting","Welcome and overview of IP Addressing & Subnetting concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","12","IP Addressing & Subnetting","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","12","IP Addressing & Subnetting","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","12","IP Addressing & Subnetting","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","12","IP Addressing & Subnetting","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","12","IP Addressing & Subnetting","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","12","IP Addressing & Subnetting","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","12","IP Addressing & Subnetting","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","12","IP Addressing & Subnetting","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","12","IP Addressing & Subnetting","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 3: Networking Fundamentals & Infrastructure","13","Router & Switch Configuration","1","Title Slide - Router & Switch Configuration","Welcome and overview of Router & Switch Configuration concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","13","Router & Switch Configuration","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","13","Router & Switch Configuration","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","13","Router & Switch Configuration","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","13","Router & Switch Configuration","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","13","Router & Switch Configuration","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","13","Router & Switch Configuration","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","13","Router & Switch Configuration","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","13","Router & Switch Configuration","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","13","Router & Switch Configuration","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 3: Networking Fundamentals & Infrastructure","14","VLAN Basics","1","Title Slide - VLAN Basics","Welcome and overview of VLAN Basics concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","14","VLAN Basics","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","14","VLAN Basics","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","14","VLAN Basics","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","14","VLAN Basics","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","14","VLAN Basics","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","14","VLAN Basics","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","14","VLAN Basics","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","14","VLAN Basics","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
